"Geschlecht","Partner","Handy"
"maennlich","ja",2
"maennlich","ja",1
"maennlich","ja",8
"maennlich","ja",10
"weiblich","nein",10
"maennlich","ja",7
"maennlich","nein",6
"weiblich","nein",5
"weiblich","ja",6
"weiblich","bin nicht sicher",5
"maennlich","nein",4
"maennlich","nein",4
"maennlich","nein",5
"maennlich","ja",5
"maennlich","ja",6
"maennlich","nein",4
"maennlich","ja",8
"maennlich","ja",4.5
"maennlich","nein",3.5
"maennlich","nein",3
"maennlich","ja",10
"maennlich","ja",4
"maennlich","nein",7
"maennlich","nein",5
"maennlich","ja",5
"maennlich","bin nicht sicher",12
"maennlich","nein",4
"maennlich","nein",2
"maennlich","nein",8
"weiblich","bin nicht sicher",3
"maennlich","nein",4
"maennlich","ja",4
"weiblich","nein",4
"weiblich","ja",4
"maennlich","ja",2
"maennlich","bin nicht sicher",5
"weiblich","ja",5
"maennlich","ja",3
"maennlich","bin nicht sicher",0.5
"maennlich","nein",4
"maennlich","nein",6
"maennlich","nein",7
"maennlich","nein",2
"maennlich","nein",1.5
"maennlich","moechte ich nicht sagen",2
"maennlich","ja",0.75
"maennlich","ja",2
"maennlich","nein",8
"maennlich","nein",3
"weiblich","nein",2
"maennlich","nein",1
"weiblich","nein",8
"weiblich","ja",3
"maennlich","ja",4
"weiblich","nein",8
"weiblich","nein",6
"maennlich","ja",8
"maennlich","nein",7
"maennlich","nein",2
"weiblich","nein",4.5
"maennlich","ja",4.5
"weiblich","nein",5
"weiblich","nein",7
"maennlich","nein",7
"maennlich","nein",6
"maennlich","nein",3
"maennlich","nein",8
"maennlich","nein",4
"weiblich","nein",5
"maennlich","nein",8
"maennlich","nein",3
"weiblich","bin nicht sicher",5
"maennlich","nein",5
"weiblich","nein",6
"weiblich","ja",8
"maennlich","bin nicht sicher",6
"maennlich","nein",5
"maennlich","nein",2
"maennlich","ja",3.5
"maennlich","nein",3
"maennlich","nein",3
"maennlich","nein",4
"weiblich","ja",2
"weiblich","nein",2
"weiblich","nein",2
"maennlich","ja",4
"weiblich","ja",4
"weiblich","nein",4
"maennlich","nein",4
"maennlich","nein",7.5
"weiblich","nein",6
"maennlich","nein",6
"weiblich","ja",6
"weiblich","nein",1.5
"weiblich","nein",7
"weiblich","ja",4
"maennlich","nein",2
"weiblich","nein",7
"maennlich","nein",3
"maennlich","nein",4
"maennlich","bin nicht sicher",8
"maennlich","nein",7
"weiblich","ja",4
"maennlich","nein",5
"weiblich","nein",8
"weiblich","ja",4
"maennlich","nein",5
"maennlich","nein",5
"weiblich","nein",4
"maennlich","nein",6
"maennlich","nein",2
"maennlich","ja",3
"maennlich","bin nicht sicher",0.5
"maennlich","ja",3
"weiblich","ja",5
"weiblich","ja",4
"maennlich","ja",4.5
"maennlich","nein",1
"weiblich","ja",5
"weiblich","ja",5
"maennlich","nein",0.5
"weiblich","ja",4
"maennlich","ja",5
"maennlich","ja",5
"maennlich","ja",5
"maennlich","nein",8
"maennlich","nein",2
"maennlich","nein",12
"weiblich","nein",7
"weiblich","nein",11
"maennlich","nein",4
"maennlich","nein",2
"maennlich","ja",4
"maennlich","nein",5
"maennlich","nein",6
"weiblich","nein",5
"maennlich","bin nicht sicher",5
"weiblich","ja",4
"maennlich","nein",7
"weiblich","nein",7
"weiblich","nein",4
"maennlich","ja",6
"maennlich","nein",6
"weiblich","ja",3
"maennlich","nein",6
"maennlich","nein",5
"weiblich","nein",5
"maennlich","nein",4
"maennlich","nein",7
"maennlich","nein",5
"maennlich","nein",4
"maennlich","nein",5
"weiblich","nein",7
"maennlich","nein",5
"maennlich","ja",4
"weiblich","ja",7
"weiblich","nein",6
"divers","moechte ich nicht sagen",15
"maennlich","nein",6
"maennlich","moechte ich nicht sagen",3
"maennlich","nein",3
"weiblich","nein",4.5
"maennlich","ja",5
"weiblich","nein",7
"maennlich","nein",6
"maennlich","ja",4
"maennlich","nein",4
"maennlich","ja",4
"maennlich","ja",7
"weiblich","nein",5
"maennlich","nein",5
"maennlich","nein",7.5
"weiblich","nein",4
"maennlich","nein",4
"maennlich","nein",5
"maennlich","nein",2
"maennlich","nein",4
"maennlich","ja",2
"weiblich","ja",2
"maennlich","nein",6
"maennlich","ja",3
